date,value
2026-04-12,13347
2026-04-12,13347
2026-04-12,13347
2026-04-12,13347
2026-04-12,13347
2026-04-12,13347
2026-04-13,16422
2026-04-13,16422
2026-04-13,16422
2026-04-13,16422
2026-04-14,74135
2026-04-14,74135
2026-04-14,74135
2026-04-14,74135
2026-04-15,19394
2026-04-15,19394
2026-04-15,19394
2026-04-16,49529
2026-04-16,35252
2026-04-16,35252
2026-04-16,35252
2026-04-17,35899
2026-04-17,35899
2026-04-18,33830
2026-04-18,33830
2026-04-19,20580
2026-04-19,20580
2026-04-20,31458
2026-04-20,31458
2026-04-20,31458
2026-04-21,0
2026-04-22,18819
2026-04-22,18819
2026-04-23,0
2026-04-23,0
2026-04-24,52252
2026-04-24,52252
2026-04-24,52252
2026-04-25,0
2026-04-26,30304
2026-04-27,18330
2026-04-27,18330
2026-04-28,14733
2026-04-28,14733
2026-04-29,38282
2026-04-30,17790
2026-04-30,17790
2026-05-01,25981
2026-05-01,25981
2026-05-02,16452
2026-05-03,0
2026-05-04,0
2026-05-05,19265
2026-05-06,17193
2026-05-07,47170
2026-05-08,15316
2026-05-09,36739
2026-05-10,38368
2026-05-11,52404
2026-05-12,112700
2026-05-12,112700
2026-05-13,18771
2026-05-14,0
2026-05-15,33960
2026-05-16,18434
2026-05-17,13710
2026-05-18,52440
2026-05-19,73055
2026-05-20,111315
2026-05-21,12399
2026-05-21,12399
2026-05-21,12399
2026-05-23,30022
2026-05-24,84641
2026-05-25,15471
2026-05-26,43949
2026-05-26,43949
2026-05-27,36047
2026-05-28,36070
2026-05-28,36070
2026-05-28,36070
2026-05-28,36070
2026-05-28,36070
2026-05-28,36070
2026-05-28,36070
2026-05-28,36070
2026-05-28,36070
2026-05-28,36070
2026-05-28,36070
2026-05-28,36070
2026-05-28,36070
2026-05-28,36070
2026-05-28,36070
2026-05-28,36070
2026-05-28,36070
2026-05-28,36070
2026-05-28,36070
2026-05-28,36070
2026-05-28,36070
2026-05-28,36070
2026-05-28,36070
2026-05-28,36070
2026-05-28,36070
