2026-04-12,2026-04-12.1,2026-04-12.2,2026-04-12.3,2026-04-12.4,2026-04-13,2026-04-13.1,2026-04-13.2,2026-04-13.3,2026-04-14,2026-04-14.1,2026-04-14.2,2026-04-14.3,2026-04-15,2026-04-15.1,2026-04-15.2,2026-04-16,2026-04-16.1,2026-04-16.2,2026-04-16.3,2026-04-17,2026-04-17.1,2026-04-18,2026-04-18.1,2026-04-19,2026-04-19.1,2026-04-20,2026-04-20.1,2026-04-20.2,2026-04-21,2026-04-22,2026-04-22.1,2026-04-23,2026-04-23.1,2026-04-24,2026-04-24.1,2026-04-24.2,2026-04-25,2026-04-26,2026-04-27,2026-04-27.1,2026-04-28,2026-04-28.1,2026-04-29,2026-04-30,2026-04-30.1,2026-05-01,2026-05-01.1,2026-05-02
31895,31895,31895,31895,31895,31888,31888,31888,31888,31895,31895,31895,31895,31886,31886,31886,31887,5112.0,5112.0,5112.0,4322.0,4322.0,1659.0,1659.0,1707.0,1707.0,1711.0,1711.0,1711.0,1713.0,1709.0,1709.0,1705.0,1705.0,1364.0,1364.0,1364.0,1812.0,2088.0,2458.0,2458.0,4803.0,4803.0,5292.0,5370.0,5370.0,5412.0,5412.0,9495.0
23067,23067,23067,23067,23067,23059,23059,23059,23059,23060,23060,23060,23060,23059,23059,23059,23065,4321.0,4321.0,4321.0,1421.0,1421.0,1427.0,1427.0,1444.0,1444.0,1450.0,1450.0,1450.0,927.0,938.0,938.0,937.0,937.0,1034.0,1034.0,1034.0,1061.0,1071.0,1230.0,1230.0,2475.0,2475.0,2488.0,3485.0,3485.0,4904.0,4904.0,5444.0
17043,17043,17043,17043,17043,17050,17050,17050,17050,17046,17046,17046,17046,17049,17049,17049,17037,1344.0,1344.0,1344.0,1353.0,1353.0,1360.0,1360.0,1362.0,1362.0,1365.0,1365.0,1365.0,698.0,781.0,781.0,933.0,933.0,941.0,941.0,941.0,957.0,1017.0,1021.0,1021.0,1850.0,1850.0,2025.0,3045.0,3045.0,3476.0,3476.0,4977.0
16496,16496,16496,16496,16496,16493,16493,16493,16493,16496,16496,16496,16496,16496,16496,16496,16497,1337.0,1337.0,1337.0,1184.0,1184.0,794.0,794.0,803.0,803.0,1012.0,1012.0,1012.0,666.0,769.0,769.0,868.0,868.0,907.0,907.0,907.0,936.0,925.0,937.0,937.0,1573.0,1573.0,1590.0,2052.0,2052.0,2238.0,2238.0,3509.0
13201,13201,13201,13201,13201,13194,13194,13194,13194,13206,13206,13206,13206,13199,13199,13199,13194,780.0,780.0,780.0,790.0,790.0,582.0,582.0,601.0,601.0,612.0,612.0,612.0,639.0,642.0,642.0,700.0,700.0,652.0,652.0,652.0,920.0,910.0,917.0,917.0,1258.0,1258.0,1419.0,1755.0,1755.0,2087.0,2087.0,2345.0
13161,13161,13161,13161,13161,13166,13166,13166,13166,13161,13161,13161,13161,13164,13164,13164,13160,647.0,647.0,647.0,567.0,567.0,529.0,529.0,582.0,582.0,582.0,582.0,582.0,587.0,586.0,586.0,650.0,650.0,646.0,646.0,646.0,872.0,898.0,883.0,883.0,1029.0,1029.0,1295.0,1595.0,1595.0,2086.0,2086.0,2157.0
12801,12801,12801,12801,12801,12793,12793,12793,12793,12791,12791,12791,12791,12798,12798,12798,12806,526.0,526.0,526.0,530.0,530.0,523.0,523.0,524.0,524.0,524.0,524.0,524.0,568.0,586.0,586.0,637.0,637.0,636.0,636.0,636.0,662.0,680.0,758.0,758.0,950.0,950.0,1276.0,1593.0,1593.0,1593.0,1593.0,2094.0
12191,12191,12191,12191,12191,12188,12188,12188,12188,12190,12190,12190,12190,12199,12199,12199,12193,521.0,521.0,521.0,522.0,522.0,489.0,489.0,494.0,494.0,518.0,518.0,518.0,486.0,567.0,567.0,618.0,618.0,615.0,615.0,615.0,656.0,669.0,675.0,675.0,895.0,895.0,1027.0,1585.0,1585.0,1591.0,1591.0,1598.0
10126,10126,10126,10126,10126,10129,10129,10129,10129,10124,10124,10124,10124,10126,10126,10126,10117,517.0,517.0,517.0,438.0,438.0,428.0,428.0,451.0,451.0,477.0,477.0,477.0,442.0,514.0,514.0,570.0,570.0,607.0,607.0,607.0,641.0,655.0,667.0,667.0,820.0,820.0,950.0,1303.0,1303.0,1481.0,1481.0,1596.0
7970,7970,7970,7970,7970,7968,7968,7968,7968,7965,7965,7965,7965,7963,7963,7963,7968,516.0,516.0,516.0,391.0,391.0,401.0,401.0,437.0,437.0,470.0,470.0,470.0,436.0,485.0,485.0,564.0,564.0,602.0,602.0,602.0,632.0,650.0,657.0,657.0,675.0,675.0,893.0,1279.0,1279.0,1291.0,1291.0,1518.0
