2026-04-12,2026-04-12.1,2026-04-12.2,2026-04-12.3,2026-04-12.4,2026-04-13,2026-04-13.1,2026-04-13.2,2026-04-13.3,2026-04-14,2026-04-14.1,2026-04-14.2,2026-04-14.3,2026-04-15,2026-04-15.1,2026-04-15.2,2026-04-16,2026-04-16.1,2026-04-16.2,2026-04-16.3,2026-04-17,2026-04-17.1,2026-04-18,2026-04-18.1,2026-04-19,2026-04-19.1,2026-04-20,2026-04-20.1,2026-04-20.2,2026-04-21,2026-04-22,2026-04-22.1,2026-04-23,2026-04-23.1,2026-04-24,2026-04-24.1,2026-04-24.2,2026-04-25,2026-04-26,2026-04-27,2026-04-27.1,2026-04-28,2026-04-28.1,2026-04-29,2026-04-30,2026-04-30.1,2026-05-01,2026-05-01.1,2026-05-02,2026-05-03,2026-05-04,2026-05-05,2026-05-06,2026-05-07,2026-05-08,2026-05-09,2026-05-10,2026-05-11,2026-05-12,2026-05-12.1,2026-05-13,2026-05-14,2026-05-15,2026-05-16,2026-05-17,2026-05-18,2026-05-19,2026-05-20,2026-05-21,2026-05-21.1,2026-05-21.2,2026-05-23,2026-05-24,2026-05-25,2026-05-26,2026-05-26.1,2026-05-27,2026-05-28,2026-05-28.1,2026-05-28.2,2026-05-28.3,2026-05-28.4,2026-05-28.5,2026-05-28.6,2026-05-28.7,2026-05-28.8,2026-05-28.9,2026-05-28.10,2026-05-28.11,2026-05-28.12,2026-05-28.13,2026-05-28.14,2026-05-28.15,2026-05-28
67702,67702,67702,67702,67702,96933,96933,96933,96933,92108,92108,92108,92108,70070,70070,70070,99015,100385,100385,100385,72774,72774,155020,155020,120568,120568,76110,76110,76110,54566,89809,89809,75235,75235,92046,92046,92046,112730,84884,82167,82167,74818,74818,106188,77756,77756,76118,76118,76295,58556,83640,105113,70507,161211,80968,99442,63283,104532,111010,111010,80245,78421,49495,86319,57289,174605,120408,65923,110282,110282,110282,60702,106377,78811,67732,67732,64819,86920,86920,86920,86920,86920,86920,86920,86920,86920,86920,86920,86920,86920,86920,86920,86920,86920
63229,63229,63229,63229,63229,72857,72857,72857,72857,88546,88546,88546,88546,64373,64373,64373,83898,84392,84392,84392,56011,56011,136137,136137,106288,106288,74858,74858,74858,52037,81458,81458,65199,65199,84890,84890,84890,55373,61395,54964,54964,73941,73941,63444,76861,76861,67238,67238,63471,57693,83110,75460,60569,101922,69245,67678,53423,55775,80284,80284,70923,61143,49440,80889,57010,140619,66218,60621,73747,73747,73747,54377,94503,71181,64229,64229,58868,56102,56102,56102,56102,56102,56102,56102,56102,56102,56102,56102,56102,56102,56102,56102,56102,56102
54312,54312,54312,54312,54312,68714,68714,68714,68714,66682,66682,66682,66682,63255,63255,63255,69047,76798,76798,76798,53799,53799,72893,72893,56656,56656,69778,69778,69778,48394,53641,53641,57208,57208,75107,75107,75107,52619,59920,46714,46714,57744,57744,50012,75831,75831,64084,64084,60551,54961,69378,66388,60460,97197,52690,61462,50692,55725,70437,70437,66043,59450,49008,79345,49156,128838,50502,55206,50289,50289,50289,49147,75662,61155,63122,63122,56039,49502,49502,49502,49502,49502,49502,49502,49502,49502,49502,49502,49502,49502,49502,49502,49502,49502
53037,53037,53037,53037,53037,66513,66513,66513,66513,63104,63104,63104,63104,57972,57972,57972,65797,66372,66372,66372,49230,49230,65036,65036,54837,54837,67804,67804,67804,44993,51504,51504,54203,54203,60987,60987,60987,51908,50600,42683,42683,56200,56200,47415,68060,68060,62735,62735,48737,54686,66147,66005,55362,88210,51440,59929,49771,54667,62780,62780,64310,54385,48082,75520,48095,109031,49264,52699,46154,46154,46154,43713,68213,54312,58004,58004,54313,43514,43514,43514,43514,43514,43514,43514,43514,43514,43514,43514,43514,43514,43514,43514,43514,43514
50061,50061,50061,50061,50061,66264,66264,66264,66264,59157,59157,59157,59157,48880,48880,48880,62945,63269,63269,63269,47707,47707,58165,58165,52953,52953,59011,59011,59011,44290,50429,50429,50392,50392,44682,44682,44682,44203,49584,41382,41382,52318,52318,46448,52008,52008,51760,51760,48500,52952,56895,63694,52939,72847,49913,52629,38571,50960,61044,61044,60840,49174,47909,75341,42008,77253,47679,50291,43571,43571,43571,43393,60882,52676,55986,55986,52395,41040,41040,41040,41040,41040,41040,41040,41040,41040,41040,41040,41040,41040,41040,41040,41040,41040
49186,49186,49186,49186,49186,63453,63453,63453,63453,55949,55949,55949,55949,47712,47712,47712,59082,59845,59845,59845,44812,44812,53293,53293,51569,51569,58429,58429,58429,44023,44615,44615,48698,48698,44538,44538,44538,39717,49056,40651,40651,46710,46710,46336,51631,51631,47127,47127,48331,50758,51778,59249,47380,64883,48647,50961,37574,48992,60690,60690,60350,48107,47304,65521,39645,74693,43544,48723,42712,42712,42712,35592,49949,52484,54545,54545,49164,36696,36696,36696,36696,36696,36696,36696,36696,36696,36696,36696,36696,36696,36696,36696,36696,36696
47073,47073,47073,47073,47073,60360,60360,60360,60360,53247,53247,53247,53247,46003,46003,46003,54872,56507,56507,56507,40532,40532,47310,47310,48096,48096,51082,51082,51082,42287,41205,41205,47421,47421,43222,43222,43222,39518,40318,39212,39212,41863,41863,42712,45965,45965,47115,47115,47492,46201,48825,57428,44005,54918,46171,50413,37510,46994,59321,59321,59397,46655,47110,55544,38237,73654,35088,46608,40981,40981,40981,35247,45212,51054,48673,48673,46319,35866,35866,35866,35866,35866,35866,35866,35866,35866,35866,35866,35866,35866,35866,35866,35866,35866
46779,46779,46779,46779,46779,59901,59901,59901,59901,52831,52831,52831,52831,45653,45653,45653,54487,55180,55180,55180,38748,38748,47034,47034,47895,47895,50964,50964,50964,41782,38972,38972,45644,45644,43124,43124,43124,38087,39634,39019,39019,40078,40078,42626,44795,44795,45453,45453,45632,43444,48288,56624,43770,52473,45105,48645,36231,42150,57156,57156,54373,44095,46540,48603,38117,68841,34438,46248,40447,40447,40447,34995,43966,50979,48191,48191,45902,35601,35601,35601,35601,35601,35601,35601,35601,35601,35601,35601,35601,35601,35601,35601,35601,35601
42215,42215,42215,42215,42215,57516,57516,57516,57516,51733,51733,51733,51733,44899,44899,44899,54148,54304,54304,54304,38477,38477,46275,46275,47887,47887,49503,49503,49503,41178,35803,35803,43794,43794,43022,43022,43022,37733,38228,38763,38763,38120,38120,41569,42772,42772,44191,44191,44617,42605,45309,50270,43322,51874,43405,46015,35714,41075,55368,55368,52582,39114,45777,48174,36805,66450,33881,44237,36304,36304,36304,32928,40957,49248,44957,44957,45117,33406,33406,33406,33406,33406,33406,33406,33406,33406,33406,33406,33406,33406,33406,33406,33406,33406
40953,40953,40953,40953,40953,55585,55585,55585,55585,49201,49201,49201,49201,42592,42592,42592,52518,52966,52966,52966,38361,38361,45779,45779,46623,46623,47518,47518,47518,39793,34440,34440,40752,40752,41961,41961,41961,36055,35844,36768,36768,37163,37163,39129,42249,42249,40502,40502,42101,42332,44819,44055,42503,50962,42925,45501,33135,37675,54205,54205,51800,35967,45038,47917,35229,59031,33631,42696,36217,36217,36217,32381,40431,48517,43949,43949,37774,31311,31311,31311,31311,31311,31311,31311,31311,31311,31311,31311,31311,31311,31311,31311,31311,31311
40156,40156,40156,40156,40156,48381,48381,48381,48381,48410,48410,48410,48410,42489,42489,42489,49545,49783,49783,49783,38357,38357,44955,44955,43211,43211,46471,46471,46471,36980,32395,32395,40083,40083,41514,41514,41514,35773,35667,36530,36530,35952,35952,36031,42166,42166,39757,39757,39388,40919,44229,43164,41468,48673,42463,43897,32706,37340,47805,47805,51265,35808,43639,45850,35098,54752,33433,41352,34673,34673,34673,32314,39941,47182,38773,38773,37244,29791,29791,29791,29791,29791,29791,29791,29791,29791,29791,29791,29791,29791,29791,29791,29791,29791
39540,39540,39540,39540,39540,47584,47584,47584,47584,47352,47352,47352,47352,40081,40081,40081,46588,46988,46988,46988,36443,36443,40846,40846,40322,40322,46207,46207,46207,36164,31201,31201,36998,36998,39306,39306,39306,32373,34599,34796,34796,35903,35903,33205,42037,42037,38189,38189,35398,39496,42297,43110,38101,46317,41803,40695,32528,36271,46601,46601,47927,34839,39941,44929,34558,53252,33056,39252,34096,34096,34096,31999,37121,45781,38420,38420,34899,28494,28494,28494,28494,28494,28494,28494,28494,28494,28494,28494,28494,28494,28494,28494,28494,28494
38225,38225,38225,38225,38225,45960,45960,45960,45960,44030,44030,44030,44030,40040,40040,40040,40766,41438,41438,41438,36424,36424,40818,40818,40236,40236,44938,44938,44938,36114,30896,30896,36410,36410,38104,38104,38104,30934,33825,34639,34639,35887,35887,32640,41120,41120,37955,37955,32104,39263,42139,39959,38077,45483,40796,39895,32468,36193,45135,45135,44720,34244,37960,44748,33560,51945,31455,39212,33868,33868,33868,31976,36846,43635,37744,37744,34617,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680,26680
36169,36169,36169,36169,36169,43762,43762,43762,43762,42625,42625,42625,42625,38439,38439,38439,39544,40166,40166,40166,35942,35942,36532,36532,38930,38930,37015,37015,37015,36038,30596,30596,35633,35633,36809,36809,36809,30910,32984,34531,34531,34667,34667,31978,40608,40608,35967,35967,32067,38591,40721,37261,37473,43390,40702,38296,31938,34784,40735,40735,42486,33881,37825,43452,33220,46304,30718,39026,33560,33560,33560,31485,36161,41127,36438,36438,34134,25438,25438,25438,25438,25438,25438,25438,25438,25438,25438,25438,25438,25438,25438,25438,25438,25438
35099,35099,35099,35099,35099,39005,39005,39005,39005,42624,42624,42624,42624,36806,36806,36806,37546,38404,38404,38404,35597,35597,35393,35393,36526,36526,36477,36477,36477,36017,30040,30040,35243,35243,36753,36753,36753,29811,32637,34411,34411,33745,33745,31203,40291,40291,34745,34745,31738,38543,38836,35836,37129,41231,38435,33932,30762,34015,40056,40056,36815,33881,36675,40295,33015,44013,30716,38412,31656,31656,31656,31055,35766,38536,36307,36307,33042,25120,25120,25120,25120,25120,25120,25120,25120,25120,25120,25120,25120,25120,25120,25120,25120,25120
34000,34000,34000,34000,34000,37899,37899,37899,37899,41307,41307,41307,41307,36338,36338,36338,37290,37861,37861,37861,35527,35527,33668,33668,35499,35499,35046,35046,35046,35751,29332,29332,34944,34944,36318,36318,36318,29643,31938,33086,33086,32877,32877,30663,37591,37591,34575,34575,31088,37173,37547,34676,35683,39175,37688,33887,30233,32276,36747,36747,35782,33243,35896,38202,30657,42428,30310,35701,30594,30594,30594,30155,34459,38439,33419,33419,30985,24693,24693,24693,24693,24693,24693,24693,24693,24693,24693,24693,24693,24693,24693,24693,24693,24693
33317,33317,33317,33317,33317,36307,36307,36307,36307,40083,40083,40083,40083,36322,36322,36322,36339,37194,37194,37194,34875,34875,33567,33567,34342,34342,32834,32834,32834,35547,28780,28780,34588,34588,35322,35322,35322,28985,31043,32431,32431,32696,32696,30439,31415,31415,34204,34204,30216,36955,30545,34155,35141,36539,33178,32780,29975,32147,36507,36507,35244,33145,34377,38019,30133,41604,29753,35238,30470,30470,30470,28758,34200,34881,33196,33196,29227,24341,24341,24341,24341,24341,24341,24341,24341,24341,24341,24341,24341,24341,24341,24341,24341,24341
32749,32749,32749,32749,32749,35975,35975,35975,35975,39988,39988,39988,39988,36235,36235,36235,35661,36057,36057,36057,34736,34736,33056,33056,34257,34257,32516,32516,32516,34760,27775,27775,32743,32743,35221,35221,35221,28675,30747,32229,32229,30070,30070,29504,30230,30230,33018,33018,30003,36430,28968,32644,33008,36116,32390,32116,29100,31039,35957,35957,34817,32978,34111,36619,29811,41401,29253,34212,29494,29494,29494,28225,33998,34687,32970,32970,28649,24269,24269,24269,24269,24269,24269,24269,24269,24269,24269,24269,24269,24269,24269,24269,24269,24269
31838,31838,31838,31838,31838,35450,35450,35450,35450,39721,39721,39721,39721,32776,32776,32776,33393,33769,33769,33769,33611,33611,32197,32197,33412,33412,32108,32108,32108,34123,27720,27720,32664,32664,34472,34472,34472,28389,29003,32031,32031,27731,27731,29412,30187,30187,32102,32102,29603,35016,27661,32373,32339,35772,32270,32104,28973,30637,35948,35948,34649,32477,33960,35677,29435,39811,29082,34033,28995,28995,28995,27461,31278,29896,32798,32798,27923,24264,24264,24264,24264,24264,24264,24264,24264,24264,24264,24264,24264,24264,24264,24264,24264,24264
30943,30943,30943,30943,30943,35286,35286,35286,35286,39563,39563,39563,39563,32043,32043,32043,30979,31931,31931,31931,33260,33260,31536,31536,32870,32870,30616,30616,30616,32166,27048,27048,27841,27841,34268,34268,34268,28142,28924,31304,31304,27643,27643,28999,29534,29534,32068,32068,28951,34250,27614,32142,31097,35705,32082,32018,27886,30501,35763,35763,34431,31052,33860,35000,29292,39188,28775,33985,27932,27932,27932,26462,31163,29308,32367,32367,27499,23837,23837,23837,23837,23837,23837,23837,23837,23837,23837,23837,23837,23837,23837,23837,23837,23837
29357,29357,29357,29357,29357,35147,35147,35147,35147,37807,37807,37807,37807,31915,31915,31915,30808,31153,31153,31153,31864,31864,30987,30987,32036,32036,30032,30032,30032,29916,26582,26582,27766,27766,31112,31112,31112,28025,28866,30412,30412,27336,27336,27384,29359,29359,31253,31253,28119,33780,27215,31729,30643,34990,31487,31874,27705,29142,33760,33760,33848,30675,33130,33748,29242,38649,28222,33145,27789,27789,27789,26006,30894,29268,32204,32204,26388,23291,23291,23291,23291,23291,23291,23291,23291,23291,23291,23291,23291,23291,23291,23291,23291,23291
29044,29044,29044,29044,29044,35118,35118,35118,35118,37108,37108,37108,37108,31884,31884,31884,30698,31033,31033,31033,31119,31119,30034,30034,31705,31705,29858,29858,29858,28111,26435,26435,27756,27756,30197,30197,30197,26951,28373,30288,30288,26253,26253,26826,29351,29351,31239,31239,27677,31995,27046,31122,30378,34329,30627,31145,26931,28885,32845,32845,33275,29961,32236,33681,28611,35640,27783,29960,27351,27351,27351,24551,30336,26618,31117,31117,26242,23260,23260,23260,23260,23260,23260,23260,23260,23260,23260,23260,23260,23260,23260,23260,23260,23260
28248,28248,28248,28248,28248,34544,34544,34544,34544,35446,35446,35446,35446,31338,31338,31338,30669,31000,31000,31000,30855,30855,29725,29725,31465,31465,29638,29638,29638,27969,26373,26373,24600,24600,30035,30035,30035,26936,27729,29629,29629,25765,25765,25795,28243,28243,30599,30599,27048,31885,26832,30923,29837,34287,30540,30591,26076,28876,31915,31915,32294,29435,32135,33537,28570,34674,26519,29482,26375,26375,26375,24422,29749,26161,30895,30895,25549,23208,23208,23208,23208,23208,23208,23208,23208,23208,23208,23208,23208,23208,23208,23208,23208,23208
27942,27942,27942,27942,27942,33740,33740,33740,33740,34593,34593,34593,34593,30305,30305,30305,30510,30728,30728,30728,30846,30846,29422,29422,31095,31095,29191,29191,29191,27593,26213,26213,24437,24437,30022,30022,30022,26644,27617,29242,29242,24374,24374,25522,27890,27890,30329,30329,24795,31323,26815,30584,28923,34028,30135,30149,26075,28680,31810,31810,31942,28532,32008,33231,28406,33108,26493,29205,26142,26142,26142,24228,29270,25215,29106,29106,24249,22972,22972,22972,22972,22972,22972,22972,22972,22972,22972,22972,22972,22972,22972,22972,22972,22972
27501,27501,27501,27501,27501,33442,33442,33442,33442,34550,34550,34550,34550,29836,29836,29836,29743,30351,30351,30351,30610,30610,29027,29027,30863,30863,29175,29175,29175,27548,25268,25268,24306,24306,29472,29472,29472,25551,26963,27232,27232,24282,24282,24856,27225,27225,29878,29878,23572,30991,26544,30402,27347,34008,30098,29628,25860,27174,31613,31613,31753,27863,30771,31312,28297,31976,26448,28709,25923,25923,25923,23924,29147,24834,28129,28129,23713,22472,22472,22472,22472,22472,22472,22472,22472,22472,22472,22472,22472,22472,22472,22472,22472,22472
25595,25595,25595,25595,25595,33279,33279,33279,33279,34219,34219,34219,34219,29376,29376,29376,29667,29839,29839,29839,30415,30415,27198,27198,30817,30817,28612,28612,28612,26959,24549,24549,24195,24195,29078,29078,29078,25367,25841,26745,26745,23890,23890,24139,27224,27224,29001,29001,23243,27580,26277,30361,26712,33798,30044,29289,25524,26889,29707,29707,31608,27743,30480,30622,28175,31046,25769,28415,25425,25425,25425,23909,29078,24503,27960,27960,23253,22147,22147,22147,22147,22147,22147,22147,22147,22147,22147,22147,22147,22147,22147,22147,22147,22147
25351,25351,25351,25351,25351,32962,32962,32962,32962,34135,34135,34135,34135,28944,28944,28944,28941,29256,29256,29256,29474,29474,27154,27154,30527,30527,28096,28096,28096,26681,24479,24479,24172,24172,28773,28773,28773,25288,25725,26604,26604,23823,23823,24104,27191,27191,28395,28395,21868,24950,25426,29451,26437,32323,29744,28794,25162,26373,28372,28372,30874,26878,30004,29674,27268,28427,25711,27039,25319,25319,25319,23496,28978,24185,27326,27326,22926,22017,22017,22017,22017,22017,22017,22017,22017,22017,22017,22017,22017,22017,22017,22017,22017,22017
25255,25255,25255,25255,25255,32712,32712,32712,32712,33923,33923,33923,33923,28608,28608,28608,28556,28740,28740,28740,28855,28855,26678,26678,29538,29538,27828,27828,27828,24078,24384,24384,23984,23984,28501,28501,28501,24257,25523,26591,26591,23067,23067,22692,26101,26101,28111,28111,21589,24751,25320,28629,25608,32275,29611,28716,24431,26275,28352,28352,29881,26302,28105,28662,27108,28138,25376,27039,23929,23929,23929,23493,28803,24065,26923,26923,22779,21993,21993,21993,21993,21993,21993,21993,21993,21993,21993,21993,21993,21993,21993,21993,21993,21993
24864,24864,24864,24864,24864,32497,32497,32497,32497,33884,33884,33884,33884,28581,28581,28581,28158,28306,28306,28306,28535,28535,26577,26577,28988,28988,27681,27681,27681,24030,23776,23776,23275,23275,27850,27850,27850,23582,25465,25773,25773,22574,22574,22671,26085,26085,25981,25981,20585,24001,24462,28367,25466,32189,29611,28090,24274,26159,27798,27798,28846,26297,27857,28596,27095,27419,24961,24903,23572,23572,23572,23477,28469,23525,25820,25820,22446,21756,21756,21756,21756,21756,21756,21756,21756,21756,21756,21756,21756,21756,21756,21756,21756,21756
24230,24230,24230,24230,24230,32196,32196,32196,32196,33796,33796,33796,33796,28236,28236,28236,27656,28174,28174,28174,27991,27991,26129,26129,28209,28209,27290,27290,27290,23685,23555,23555,22948,22948,26725,26725,26725,23351,24525,25700,25700,22196,22196,22621,25569,25569,25073,25073,20281,23839,24300,26101,25352,32164,27990,27858,24229,25581,27498,27498,28287,26264,27726,28560,26940,26598,24579,24473,23101,23101,23101,22945,28438,23401,25582,25582,22231,21578,21578,21578,21578,21578,21578,21578,21578,21578,21578,21578,21578,21578,21578,21578,21578,21578
23868,23868,23868,23868,23868,30373,30373,30373,30373,33784,33784,33784,33784,28075,28075,28075,27083,27520,27520,27520,27523,27523,25775,25775,28040,28040,27205,27205,27205,23365,23292,23292,22581,22581,25668,25668,25668,22847,24513,25613,25613,21888,21888,22190,25531,25531,24847,24847,20271,23607,23901,26000,24650,31967,27813,27646,23933,25573,26601,26601,27867,25389,27484,27834,26926,26413,24195,24112,22671,22671,22671,22797,28217,23132,25553,25553,21893,21520,21520,21520,21520,21520,21520,21520,21520,21520,21520,21520,21520,21520,21520,21520,21520,21520
23839,23839,23839,23839,23839,29993,29993,29993,29993,33729,33729,33729,33729,27910,27910,27910,26568,27177,27177,27177,27298,27298,24718,24718,27840,27840,27170,27170,27170,22166,22910,22910,22557,22557,25392,25392,25392,22180,24503,25573,25573,21694,21694,21919,24639,24639,24668,24668,20195,23261,23701,25891,24603,31929,26884,27598,23894,25515,26492,26492,27231,25031,27355,27773,26601,26402,23911,24091,22667,22667,22667,22341,27384,22574,24768,24768,21708,21317,21317,21317,21317,21317,21317,21317,21317,21317,21317,21317,21317,21317,21317,21317,21317,21317
23819,23819,23819,23819,23819,28346,28346,28346,28346,32627,32627,32627,32627,27302,27302,27302,25141,25431,25431,25431,27011,27011,24507,24507,27306,27306,26740,26740,26740,21811,22694,22694,22444,22444,25169,25169,25169,22045,24196,25438,25438,21408,21408,21826,24600,24600,23601,23601,19643,23123,23593,25669,24465,30795,26838,26539,23626,24821,26180,26180,27165,24754,27117,27490,26322,25944,23902,23997,22549,22549,22549,22037,26462,22172,23668,23668,21348,21212,21212,21212,21212,21212,21212,21212,21212,21212,21212,21212,21212,21212,21212,21212,21212,21212
23803,23803,23803,23803,23803,28005,28005,28005,28005,32436,32436,32436,32436,27010,27010,27010,24923,25348,25348,25348,26850,26850,23524,23524,26237,26237,26706,26706,26706,21771,22294,22294,22439,22439,24594,24594,24594,21998,24168,25054,25054,21002,21002,21681,24438,24438,22807,22807,19543,22956,23371,25528,24297,30333,26834,26441,23297,24218,25853,25853,27119,24687,27054,27130,26012,25900,23859,23529,22529,22529,22529,21813,23536,21866,23482,23482,20600,20943,20943,20943,20943,20943,20943,20943,20943,20943,20943,20943,20943,20943,20943,20943,20943,20943
