date,value
2026-04-12,2392685
2026-04-12,2392685
2026-04-12,2392685
2026-04-12,2392685
2026-04-12,2392685
2026-04-12,2392685
2026-04-13,2825698
2026-04-13,2825698
2026-04-13,2825698
2026-04-13,2825698
2026-04-14,3000807
2026-04-14,3000807
2026-04-14,3000807
2026-04-14,3000807
2026-04-15,2588538
2026-04-15,2588538
2026-04-15,2588538
2026-04-16,2650595
2026-04-16,2697268
2026-04-16,2697268
2026-04-16,2697268
2026-04-17,2528513
2026-04-17,2528513
2026-04-18,2598985
2026-04-18,2598985
2026-04-19,2563202
2026-04-19,2563202
2026-04-20,2578426
2026-04-20,2578426
2026-04-20,2578426
2026-04-21,2189280
2026-04-22,2260752
2026-04-22,2260752
2026-04-23,2249678
2026-04-23,2249678
2026-04-24,2379738
2026-04-24,2379738
2026-04-24,2379738
2026-04-25,2157968
